,bbl,RS_Unit_Count,legacy_properties_all_rs,legacy_properties_0_35_pct_rs,legacy_properties_35_89_pct_rs,legacy_properties_90_pct_plus_rs,programmatic_properties,govt_subsidized_income_restricted_rs,mixed_income_rs
0,1000077501,5.0,1,1,0,0,0,0,0
1,1000087501,96.0,0,0,0,0,0,0,0
2,1000150022,31.0,1,1,0,0,0,0,0
4,1000160015,42.0,0,0,0,0,1,0,1
5,1000160020,43.0,0,0,0,0,1,0,1
7,1000160185,253.0,0,0,0,0,1,0,1
8,1000160195,123.0,0,0,0,0,0,0,0
10,1000160210,71.0,0,0,0,0,1,0,1
12,1000167519,3.0,0,0,0,0,0,0,0
13,1000167520,5.0,0,0,0,0,0,0,0
14,1000167522,81.0,0,0,0,0,1,0,1
15,1000170029,15.0,1,1,0,0,0,0,0
17,1000190018,1.0,1,1,0,0,0,0,0
18,1000210006,12.0,1,1,0,0,0,0,0
20,1000257502,1.0,1,1,0,0,0,0,0
21,1000260014,372.0,1,0,0,1,0,0,0
23,1000270009,4.0,1,1,0,0,0,0,0
24,1000270017,331.0,1,0,0,1,0,0,0
26,1000277502,545.0,1,0,1,0,0,0,0
27,1000297501,2.0,1,1,0,0,0,0,0
28,1000310001,35.0,1,1,0,0,0,0,0
29,1000330011,208.0,1,0,1,0,0,0,0
30,1000397501,2.0,1,1,0,0,0,0,0
31,1000420001,41.0,0,0,0,0,1,1,0
32,1000420022,287.0,0,0,0,0,1,0,1
33,1000520021,12.0,1,0,1,0,0,0,0
35,1000530006,14.0,1,0,1,0,0,0,0
36,1000530036,6.0,1,0,1,0,0,0,0
37,1000550014,4.0,1,1,0,0,0,0,0
38,1000560004,44.0,1,1,0,0,0,0,0
39,1000637501,64.0,0,0,0,0,1,0,1
40,1000650006,3.0,1,1,0,0,0,0,0
41,1000650020,2.0,1,1,0,0,0,0,0
43,1000690006,189.0,0,0,0,0,1,0,1
44,1000690018,650.0,0,0,0,0,1,0,1
45,1000697502,1.0,1,1,0,0,0,0,0
46,1000710001,21.0,1,1,0,0,0,0,0
47,1000720027,12.0,1,0,1,0,0,0,0
50,1000760006,30.0,0,0,0,0,1,0,1
52,1000760024,3.0,0,0,0,0,1,0,1
55,1000767502,1.0,0,0,0,0,0,0,0
56,1000770001,14.0,1,1,0,0,0,0,0
58,1000780047,483.0,0,0,0,0,1,0,1
62,1000787510,28.0,0,0,0,0,1,1,0
63,1000880014,396.0,0,0,0,0,1,0,1
65,1000900017,168.0,0,0,0,0,1,0,1
68,1000910009,6.0,1,0,0,1,0,0,0
